smiles,molecule_chembl_id,pref_name,ic50_nM,pIC50
CN(C)CCc1cccc(Nc2nccc(-c3c(-c4cccc(NC(=O)Cc5ccccc5)c4)nc4sccn34)n2)c1,CHEMBL1090363,,150.0,6.823908740944319
O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3ccc4c(c3)CCNC4)n2)c1,CHEMBL1090364,,55.0,7.259637310505756
C[C@]1(O)C[C@@H](c2nc(-c3ccc4ccc(-c5ccccc5)nc4c3)c3c(N)nccn32)C1,CHEMBL1091644,LINSITINIB,10000.0,5.0
CC(C)COC(=O)Nc1ccc(-c2cnc3c(-c4ccc(N5CCN(C)CC5)cc4)cnn3c2N)cc1,CHEMBL1085511,,10000.0,5.0
CCOC(=O)c1cc2cc(Nc3ncnc4cc(OCCCN(CC)CC)c(OC)cc34)ccc2s1,CHEMBL1165468,,2290.0,5.640164517660112
CCOC(=O)c1cc2cc(Nc3ncnc4cc(OCCCN5CCC(C)CC5)c(OC)cc34)ccc2s1,CHEMBL1163749,,1320.0,5.87942606879415
NS(=O)(=O)c1ccc(Nc2nc(N3CCOCC3)nc3[nH]cnc23)cc1,CHEMBL1172957,,10000.0,5.0
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(F)cc1,CHEMBL1172802,,5840.0,5.2335871528876
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Cl)cc1,CHEMBL1172803,,4770.0,5.321481620959886
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(Br)cc1,CHEMBL1173651,,4650.0,5.3325470471100465
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1,CHEMBL1173652,,10780.0,4.96738123914928
Cc1ccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,CHEMBL1173653,,9650.0,5.015472686656207
COc1ccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)cc1,CHEMBL1173713,,14320.0,4.844056982028163
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(C(C)C)cc1,CHEMBL1173714,,9970.0,5.001304841688344
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(-c2ccccc2)cc1,CHEMBL1173718,,2150.0,5.667561540084395
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc(OCc2ccccc2)cc1,CHEMBL1173783,,3460.0,5.460923901207224
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1F,CHEMBL1172877,,41260.0,4.384470776362868
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1Cl,CHEMBL1172878,,36450.0,4.4383024673460065
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1Br,CHEMBL1172947,,44850.0,4.348237552619889
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccccc1[N+](=O)[O-],CHEMBL1173789,,40000.0,4.3979400086720375
COc1ccccc1/C=C/C(=O)OCCn1c([N+](=O)[O-])cnc1C,CHEMBL1171273,,50000.0,4.301029995663981
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc([N+](=O)[O-])c1,CHEMBL1172950,,19340.0,4.713543530253017
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc(F)c1,CHEMBL1172951,,16750.0,4.775985188627136
COc1cccc(/C=C/C(=O)OCCn2c([N+](=O)[O-])cnc2C)c1,CHEMBL1173014,,18820.0,4.725380380908762
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1cccc2ccccc12,CHEMBL1170278,,5030.0,5.298432014944073
Cc1ncc([N+](=O)[O-])n1CCOC(=O)/C=C/c1ccc2ccccc2c1,CHEMBL1170459,,9240.0,5.0343280287798935
O=C(O)c1ccc(C(=O)/C(=C\c2ccc(F)c([N+](=O)[O-])c2)SCc2ccc(Br)cc2)cc1,CHEMBL1242482,,10000.0,5.0
Cn1ccc2ncnc(Oc3ccc(NC(=O)Nc4cccc(C(F)(F)F)c4)c(F)c3)c21,CHEMBL1254007,,10000.0,5.0
Cc1cc(Nc2nc3cccc(Cl)c3o2)ccc1-c1nn([C@H]2CC[C@H](N3CCN(C)CC3)CC2)c2ncnc(N)c12,CHEMBL1256436,,478.0,6.320572103387881
CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4Cl)c4c(N)ncnc43)CC2)CC1,CHEMBL1256435,,15.4,7.8124792791635365
CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)c(Cl)c4)c4c(N)ncnc43)CC2)CC1,CHEMBL1256433,,29.0,7.5376020021010435
CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)c(F)c4)c4c(N)ncnc43)CC2)CC1,CHEMBL1256432,,16.0,7.795880017344075
COCCCN1CCC(N2CCC(n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,CHEMBL1256431,,13.8,7.860120913598763
CC(C)N1CCC(N2CCC(n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,CHEMBL1256430,,15.1,7.82102305270683
CN1CCC(N2CCC(n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,CHEMBL1258231,,14.5,7.838631997765025
CN(C)C(=O)CN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,CHEMBL1256429,,21.5,7.667561540084395
COCCCN1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,CHEMBL1256428,,397.0,6.401209493236885
COCCCN1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,CHEMBL1256427,,21.5,7.667561540084395
CC(C)N1CCN([C@H]2CC[C@@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,CHEMBL1256426,,62.0,7.2076083105017466
CC(C)N1CCN([C@H]2CC[C@H](n3nc(-c4ccc(Nc5nc6cccc(Cl)c6o5)cc4)c4c(N)ncnc43)CC2)CC1,CHEMBL1256425,,9.8,8.008773924307505
