smiles,dsstox_substance_id,casn,chnm,aeid,hitc,modl,coff
C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID3059921,376-06-7,Perfluorotetradecanoic acid,112,0.856009560818845,poly1,0.7755397352445266
C(C(C(C(F)(F)S(=O)(=O)N)(F)F)(F)F)(C(C(F)(F)F)(F)F)(F)F,DTXSID50469320,41997-13-1,Perfluorohexanesulfonamide,112,0.9386769159921872,pow,0.7755397352445266
C(C(C(C(F)(F)F)(F)F)(F)F)(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F,DTXSID8059920,375-92-8,Perfluoroheptanesulfonic acid,112,0.9999597636890892,exp2,0.7755397352445266
C1(C(C(C(C1(F)F)(F)F)(F)F)(F)F)(C(F)(F)F)F,DTXSID7061982,1805-22-7,Perfluoromethylcyclopentane,112,8.013177678022885e-19,exp4,0.7755397352445266
C(=O)(C(C(F)(F)F)(F)F)O,DTXSID8059970,422-64-0,Perfluoropropanoic acid,112,8.59085901901597e-05,pow,0.7755397352445266
C(=O)(C(C(C(C(C(=O)O)(F)F)(F)F)(F)F)(F)F)O,DTXSID4059833,336-08-3,Perfluorohexanedioic acid,112,4.391052652349588e-12,poly1,0.7755397352445266
C(C(OC(C(OC(C(OC(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,DTXSID40380797,147492-57-7,"1H,1H-Perfluoro-3,6,9-trioxadecan-1-ol",112,7.226572600082261e-08,poly1,0.7755397352445266
C=CC(=O)OCCC(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,DTXSID5067348,27905-45-9,2-(Perfluorooctyl)ethyl acrylate,112,0.0,exp4,0.7755397352445266
C(C(C(C(F)(F)F)(F)F)(F)F)I,DTXSID4059912,374-98-1,Heptafluorobutyl iodide,112,2.0718409244929836e-18,exp4,0.7755397352445266
C(C(C(C(C(C(F)(F)S(=O)(=O)[O-])(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F.[Na+],DTXSID60892443,2806-15-7,Sodium perfluorodecanesulfonate,112,0.9860809007736964,exp4,0.7755397352445266
